"Title","Economic inactivity by qualification level"
"Location","England, Wales and Scotland"
"Time period","2017"
"Data source","Department for Education"
"Data source link","https://www.nomisweb.co.uk/query/select/getdatasetbytheme.asp?opt%3D3%26theme%3D%26subgrp%3D&sa=D&ust=1505757273319000&usg=AFQjCNFnS64ZDSibYXaOTf54ZPpw97wNXg"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-10-05"
"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography code","Geography_type","Gender","Age","Highest qualification held","Qualification_type","Value","Value_type","Denominator","Numerator","upper 95% CI","lower 95% CI","Sample size"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Black","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Female","16-64","Other qualifications","National Qualifications Framework (NQF) level","40.9","%","41166","16820","52.20%","29.60%","182"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Other","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Female","16-64","Other qualifications","National Qualifications Framework (NQF) level","45.8","%","61043","27979","55.30%","36.30%","264"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Ethnic minority (exc White minorities)","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Female","16-64","Other qualifications","National Qualifications Framework (NQF) level","48.9","%","242280","118576","53.70%","44.20%","1072"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Unknown","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Female","16-64","Other qualifications","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","All","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Female","16-64","Other qualifications","National Qualifications Framework (NQF) level","35.3","%","1014819","358097","36.60%","34.00%","5286"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","White","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Female","16-64","No qualifications","National Qualifications Framework (NQF) level","58.5","%","1,543,529","902,996","59.50%","57.50%","8,969"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Mixed","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Female","16-64","No qualifications","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Asian","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Female","16-64","No qualifications","National Qualifications Framework (NQF) level","79.6","%","189,137","150,623","83.80%","75.50%","889"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Black","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Female","16-64","No qualifications","National Qualifications Framework (NQF) level","59.8","%","58,387","34,943","69.70%","50.00%","236"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Other","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Female","16-64","No qualifications","National Qualifications Framework (NQF) level","71.0","%","52,929","37,579","79.90%","62.10%","247"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Ethnic minority (exc White minorities)","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Female","16-64","No qualifications","National Qualifications Framework (NQF) level","73.8","%","313,884","231,799","77.50%","70.20%","1,429"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Unknown","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Female","16-64","No qualifications","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","All","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Female","16-64","No qualifications","National Qualifications Framework (NQF) level","61.1","%","1,858,807","1,136,189","62.10%","60.20%","10,405"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","White","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Female","16-64","Missing","National Qualifications Framework (NQF) level","45.7","%","37576","17155","52.70%","38.60%","194"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Mixed","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Female","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Asian","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Female","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Black","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Female","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Other","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Female","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Ethnic minority (exc White minorities)","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Female","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Unknown","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Female","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","All","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Female","16-64","Missing","National Qualifications Framework (NQF) level","48.1","%","45897","22081","54.70%","41.60%","224"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","White","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Female","16-64","All","National Qualifications Framework (NQF) level","24.8","%","16,060,263","3,984,263","25.10%","24.50%","83,458"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Mixed","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Female","16-64","All","National Qualifications Framework (NQF) level","23.0","%","192,824","44,289","27.60%","18.30%","783"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Asian","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Female","16-64","All","National Qualifications Framework (NQF) level","42.2","%","1,139,987","480,611","44.30%","40.00%","4,976"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Black","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Female","16-64","All","National Qualifications Framework (NQF) level","26.0","%","538,055","140,062","29.00%","23.10%","2,145"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Other","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Female","16-64","All","National Qualifications Framework (NQF) level","38.2","%","402,927","153,941","41.90%","34.50%","1,686"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Ethnic minority (exc White minorities)","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Female","16-64","All","National Qualifications Framework (NQF) level","36.0","%","2,273,793","818,903","37.50%","34.50%","9,590"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Unknown","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Female","16-64","All","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","All","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Female","16-64","All","National Qualifications Framework (NQF) level","26.2","%","18,345,101","4,807,593","26.50%","25.90%","93,102"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","White","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","All","16-64","Level 4 and above","National Qualifications Framework (NQF) level","11.2","%","11,288,802","1,260,301","11.40%","10.90%","54,147"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Mixed","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","All","16-64","Level 4 and above","National Qualifications Framework (NQF) level","10.2","%","135,900","13,847","14.20%","6.10%","535"
