"Title","Travel by distance, trips, type of transport and purpose"
"Location","England"
"Time period","2002/06 to 2011/15 (5-year rolling average)"
"Data source","Department for Transport"
"Data source link","https://www.gov.uk/government/collections/national-travel-survey-statistics"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","27 July 2017"
"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Main_Mode_of_Transport","Value","Weighted_Sample_Stage_Distance","Unweighted_Sample_Stage_Distance","Weighted_Sample_Stages","Unweighted_Sample_Stages","Weighted_Sample_Individuals","Unweighted_Sample_Individuals"
"Average distance in miles per year by mode of transport","2006-2010","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Surface Rail","489","47419","37238","2301","1874","5060","4625"
"Average distance in miles per year by mode of transport","2006-2010","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Taxi / minicab","34","3298","2745","739","630","5060","4625"
"Average distance in miles per year by mode of transport","2006-2010","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Walk","178","17322","14989","31406","27138","5060","4625"
"Average distance in miles per year by mode of transport","2006-2010","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","All Modes","4678","204824","181342","45033","40619","2283","2167"
"Average distance in miles per year by mode of transport","2006-2010","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Bicycle","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2006-2010","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Bus in London","621","27179","24552","8555","7739","2283","2167"
"Average distance in miles per year by mode of transport","2006-2010","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Car / van driver","1599","70011","62231","9117","8052","2283","2167"
"Average distance in miles per year by mode of transport","2006-2010","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Car / van passenger","922","40357","36699","5383","4975","2283","2167"
"Average distance in miles per year by mode of transport","2006-2010","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","London Underground","238","10420","8939","1510","1291","2283","2167"
"Average distance in miles per year by mode of transport","2006-2010","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Motorcycle ","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2006-2010","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Non-local bus","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2006-2010","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Other local bus","251","10970","9260","2376","2082","2283","2167"
"Average distance in miles per year by mode of transport","2006-2010","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Other private transport","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2006-2010","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Other public transport","38","1684","1402","347","309","2283","2167"
"Average distance in miles per year by mode of transport","2006-2010","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Surface Rail","614","26893","22705","1536","1343","2283","2167"
"Average distance in miles per year by mode of transport","2006-2010","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Taxi / minicab","40","1743","1456","439","379","2283","2167"
"Average distance in miles per year by mode of transport","2006-2010","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Walk","183","8034","7255","15157","13925","2283","2167"
"Average distance in miles per year by mode of transport","2006-2010","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","All Modes","5316","140919","124253","27383","24711","1382","1307"
"Average distance in miles per year by mode of transport","2006-2010","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Bicycle","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2006-2010","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Bus in London","233","6174","5295","1988","1751","1382","1307"
"Average distance in miles per year by mode of transport","2006-2010","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Car / van driver","1471","38984","32212","4795","4054","1382","1307"
"Average distance in miles per year by mode of transport","2006-2010","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Car / van passenger","2066","54771","51499","6838","6508","1382","1307"
"Average distance in miles per year by mode of transport","2006-2010","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","London Underground","120","3173","2684","557","462","1382","1307"
"Average distance in miles per year by mode of transport","2006-2010","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Motorcycle ","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2006-2010","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Non-local bus","-9","-9","-9","-9","-9","-9","-9"
