"Measure","Year","Sex","Age Group","Ethnicity","Remand Status","Police Force Area","Count","Denominator","Value"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Custody","Northumbria","39","104","37.5"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Not remanded","Northumbria","1","129","0.8"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Bail","Nottinghamshire","69","129","53.5"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Custody","Nottinghamshire","59","129","45.7"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Not remanded","Nottinghamshire","5","69","7.2"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Bail","South Wales","33","69","47.8"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Custody","South Wales","31","69","44.9"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Not remanded","South Wales","7","171","4.1"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Bail","South Yorkshire","89","171","52.0"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Custody","South Yorkshire","75","171","43.9"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Not remanded","South Yorkshire","21","162","13.0"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Bail","Staffordshire","101","162","62.3"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Custody","Staffordshire","40","162","24.7"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Not remanded","Staffordshire","12","44","27.3"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Bail","Suffolk","18","44","40.9"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Custody","Suffolk","14","44","31.8"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Not remanded","Suffolk","6","64","9.4"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Bail","Surrey","33","64","51.6"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Custody","Surrey","25","64","39.1"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Not remanded","Surrey","7","83","8.4"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Bail","Sussex","38","83","45.8"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Custody","Sussex","38","83","45.8"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Not remanded","Sussex","2","308","0.6"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Bail","Thames Valley","207","308","67.2"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Custody","Thames Valley","99","308","32.1"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Not remanded","Thames Valley","39","66","59.1"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Bail","Warwickshire","19","66","28.8"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Custody","Warwickshire","8","66","12.1"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Not remanded","Warwickshire","7","66","10.6"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Bail","West Mercia","36","66","54.5"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Custody","West Mercia","23","66","34.8"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Not remanded","West Mercia","5","980","0.5"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Bail","West Midlands","569","980","58.1"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Custody","West Midlands","406","980","41.4"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Not remanded","West Midlands","82","868","9.4"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Bail","West Yorkshire","579","868","66.7"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Custody","West Yorkshire","207","868","23.8"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Not remanded","West Yorkshire","59","75","78.7"
