"Title","State support"
"Location","UK"
"Time period","2009/10 to 2015/16"
"Data source","Department for Work and Pensions"
"Data source link","https://www.gov.uk/government/statistics/family-resources-survey-financial-year-201516"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-10-10"
"Benefit","Time","Time_type","Ethnicity of household reference person","Ethnicity_type","Geography","Geography_type","Value","Denominator","Numerator","Upper bound","Lower bound","Note"
"Severe Disablement Allowance by ethnic group of head","2010/11-2012/13","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","-","3,420","","","",""
"Attendance Allowance by ethnic group of head","2010/11-2012/13","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","1","3,420","","","",""
"Carer's Allowance by ethnic group of head","2010/11-2012/13","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","1","3,420","","","",""
"Disability Living Allowance (care component) by ethnic group of head","2010/11-2012/13","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","5","3,420","","","",""
"Disability Living Allowance (mobility component) by ethnic group of head","2010/11-2012/13","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","4","3,420","","","",""
"Personal Independence Payment (daily living component) by ethnic group of head","2010/11-2012/13","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","0","3,420","","","","Not available in period"
"Personal Independence Payment (mobility component) by ethnic group of head","2010/11-2012/13","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","0","3,420","","","","Not available in period"
"Industrial Injuries Disablement Benefit by ethnic group of head","2010/11-2012/13","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","-","3,420","","","",""
"Armed Forces Compensation Scheme by ethnic group of head","2010/11-2012/13","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","0","3,420","","","",""
"All in receipt of state support by ethnic group of head","2010/11-2012/13","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","48","1,419","","","",""
"All in receipt of benefit by ethnic group of head","2010/11-2012/13","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","47","1,419","","","",""
"All in receipt of Tax Credits by ethnic group of head","2010/11-2012/13","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","12","1,419","","","",""
"On any income-related benefit by ethnic group of head","2010/11-2012/13","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","14","1,419","","","",""
"On any non-income-related benefit by ethnic group of head","2010/11-2012/13","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","43","1,419","","","",""
"Child Benefit by ethnic group of head","2010/11-2012/13","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","25","1,419","","","",""
"Working Tax Credit by ethnic group of head","2010/11-2012/13","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","6","1,419","","","",""
"Child Tax Credit by ethnic group of head","2010/11-2012/13","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","11","1,419","","","",""
"Income Support by ethnic group of head","2010/11-2012/13","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","2","1,419","","","",""
"Housing Benefit by ethnic group of head","2010/11-2012/13","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","6","1,419","","","",""
"Pension Credit by ethnic group of head","2010/11-2012/13","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","4","1,419","","","",""
"Council Tax Reduction by ethnic group of head","2010/11-2012/13","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","8","1,419","","","",""
"Jobseeker's Allowance by ethnic group of head","2010/11-2012/13","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","4","1,419","","","",""
"Employment and Support Allowance by ethnic group of head","2010/11-2012/13","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","1","1,419","","","",""
"State Pension by ethnic group of head","2010/11-2012/13","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","11","1,419","","","",""
"Widow's Benefits by ethnic group of head","2010/11-2012/13","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","-","1,419","","","",""
"Incapacity Benefit by ethnic group of head","2010/11-2012/13","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","2","1,419","","","",""
"Severe Disablement Allowance by ethnic group of head","2010/11-2012/13","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","-","1,419","","","",""
"Attendance Allowance by ethnic group of head","2010/11-2012/13","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","1","1,419","","","",""
"Carer's Allowance by ethnic group of head","2010/11-2012/13","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","1","1,419","","","",""
"Disability Living Allowance (care component) by ethnic group of head","2010/11-2012/13","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","5","1,419","","","",""
"Disability Living Allowance (mobility component) by ethnic group of head","2010/11-2012/13","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","5","1,419","","","",""
"Personal Independence Payment (daily living component) by ethnic group of head","2010/11-2012/13","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","0","1,419","","","","Not available in period"
"Personal Independence Payment (mobility component) by ethnic group of head","2010/11-2012/13","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","0","1,419","","","","Not available in period"
"Industrial Injuries Disablement Benefit by ethnic group of head","2010/11-2012/13","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","-","1,419","","","",""
"Armed Forces Compensation Scheme by ethnic group of head","2010/11-2012/13","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","0","1,419","","","",""
"All in receipt of state support by ethnic group of head","2010/11-2012/13","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","59","865","","","",""
"All in receipt of benefit by ethnic group of head","2010/11-2012/13","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","57","865","","","",""
"All in receipt of Tax Credits by ethnic group of head","2010/11-2012/13","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","30","865","","","",""
"On any income-related benefit by ethnic group of head","2010/11-2012/13","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","26","865","","","",""
"On any non-income-related benefit by ethnic group of head","2010/11-2012/13","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","51","865","","","",""
"Child Benefit by ethnic group of head","2010/11-2012/13","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","37","865","","","",""
"Working Tax Credit by ethnic group of head","2010/11-2012/13","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","17","865","","","",""
"Child Tax Credit by ethnic group of head","2010/11-2012/13","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","28","865","","","",""
"Income Support by ethnic group of head","2010/11-2012/13","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","6","865","","","",""
"Housing Benefit by ethnic group of head","2010/11-2012/13","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","10","865","","","",""
"Pension Credit by ethnic group of head","2010/11-2012/13","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","4","865","","","",""
"Council Tax Reduction by ethnic group of head","2010/11-2012/13","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","19","865","","","",""
"Jobseeker's Allowance by ethnic group of head","2010/11-2012/13","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","5","865","","","",""
"Employment and Support Allowance by ethnic group of head","2010/11-2012/13","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","2","865","","","",""
"State Pension by ethnic group of head","2010/11-2012/13","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","7","865","","","",""
"Widow's Benefits by ethnic group of head","2010/11-2012/13","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","-","865","","","",""
"Incapacity Benefit by ethnic group of head","2010/11-2012/13","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","1","865","","","",""
"Severe Disablement Allowance by ethnic group of head","2010/11-2012/13","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","-","865","","","",""
"Attendance Allowance by ethnic group of head","2010/11-2012/13","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","1","865","","","",""
"Carer's Allowance by ethnic group of head","2010/11-2012/13","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","2","865","","","",""
"Disability Living Allowance (care component) by ethnic group of head","2010/11-2012/13","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","7","865","","","",""
"Disability Living Allowance (mobility component) by ethnic group of head","2010/11-2012/13","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","7","865","","","",""
"Personal Independence Payment (daily living component) by ethnic group of head","2010/11-2012/13","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","0","865","","","","Not available in period"
"Personal Independence Payment (mobility component) by ethnic group of head","2010/11-2012/13","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","0","865","","","","Not available in period"
"Industrial Injuries Disablement Benefit by ethnic group of head","2010/11-2012/13","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","-","865","","","",""
"Armed Forces Compensation Scheme by ethnic group of head","2010/11-2012/13","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","0","865","","","",""
"All in receipt of state support by ethnic group of head","2010/11-2012/13","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","52","345","","","",""
"All in receipt of benefit by ethnic group of head","2010/11-2012/13","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","51","345","","","",""
"All in receipt of Tax Credits by ethnic group of head","2010/11-2012/13","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","24","345","","","",""
"On any income-related benefit by ethnic group of head","2010/11-2012/13","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","30","345","","","",""
