"Title","Employment by qualification level"
"% of individuals in employment","White","ONS 5+1","2013","Year","K03000001","ONS geography code","All","16-64","Below Level 2","National Qualifications Framework (NQF) level","67.50%","%","4,013,367","2,707,786","68.10%","66.80%","19,922"
"% of individuals in employment","Mixed","ONS 5+1","2013","Year","K03000001","ONS geography code","All","16-64","Below Level 2","National Qualifications Framework (NQF) level","49.70%","%","40,869","20,295","62.00%","37.30%","158"
"% of individuals in employment","Asian or Asian British","ONS 5+1","2013","Year","K03000001","ONS geography code","All","16-64","Below Level 2","National Qualifications Framework (NQF) level","48.00%","%","202,589","97,182","53.40%","42.50%","812"
"% of individuals in employment","Black or Black British","ONS 5+1","2013","Year","K03000001","ONS geography code","All","16-64","Below Level 2","National Qualifications Framework (NQF) level","55.10%","%","94,435","52,072","63.30%","47.00%","355"
"% of individuals in employment","Other","ONS 5+1","2013","Year","K03000001","ONS geography code","All","16-64","Below Level 2","National Qualifications Framework (NQF) level","40.30%","%","51,216","20,616","51.20%","29.30%","193"
"% of individuals in employment","Ethnic Minority","ONS 5+1","2013","Year","K03000001","ONS geography code","All","16-64","Below Level 2","National Qualifications Framework (NQF) level","48.90%","%","389,109","190,165","52.80%","44.90%","1,518"
"% of individuals in employment","Unreported","ONS 5+1","2013","Year","K03000001","ONS geography code","All","16-64","Below Level 2","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","All","ONS 5+1","2013","Year","K03000001","ONS geography code","All","16-64","Below Level 2","National Qualifications Framework (NQF) level","65.80%","%","4,403,502","2,898,439","66.50%","65.20%","21,445"
"% of individuals in employment","White","ONS 5+1","2013","Year","K03000001","ONS geography code","All","16-64","Other qualifications","National Qualifications Framework (NQF) level","74.10%","%","1883261","1396261","75.00%","73.30%","9829"
"% of individuals in employment","Mixed","ONS 5+1","2013","Year","K03000001","ONS geography code","All","16-64","Other qualifications","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","Asian or Asian British","ONS 5+1","2013","Year","K03000001","ONS geography code","All","16-64","Other qualifications","National Qualifications Framework (NQF) level","60.10%","%","277877","167086","64.60%","55.70%","1175"
"% of individuals in employment","Black or Black British","ONS 5+1","2013","Year","K03000001","ONS geography code","All","16-64","Other qualifications","National Qualifications Framework (NQF) level","61.20%","%","96386","59036","69.00%","53.50%","375"
"% of individuals in employment","Other","ONS 5+1","2013","Year","K03000001","ONS geography code","All","16-64","Other qualifications","National Qualifications Framework (NQF) level","60.60%","%","127671","77329","67.20%","53.90%","516"
"% of individuals in employment","Ethnic Minority","ONS 5+1","2013","Year","K03000001","ONS geography code","All","16-64","Other qualifications","National Qualifications Framework (NQF) level","61.00%","%","523023","319172","64.30%","57.80%","2148"
"% of individuals in employment","Unreported","ONS 5+1","2013","Year","K03000001","ONS geography code","All","16-64","Other qualifications","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","All","ONS 5+1","2013","Year","K03000001","ONS geography code","All","16-64","Other qualifications","National Qualifications Framework (NQF) level","71.30%","%","2408048","1716393","72.10%","70.50%","11985"
"% of individuals in employment","White","ONS 5+1","2013","Year","K03000001","ONS geography code","All","16-64","No qualifications","National Qualifications Framework (NQF) level","42.40%","%","2,997,253","1,270,301","43.10%","41.60%","16,427"
"% of individuals in employment","Mixed","ONS 5+1","2013","Year","K03000001","ONS geography code","All","16-64","No qualifications","National Qualifications Framework (NQF) level","33.60%","%","31,647","10,628","47.20%","20.00%","116"
"% of individuals in employment","Asian or Asian British","ONS 5+1","2013","Year","K03000001","ONS geography code","All","16-64","No qualifications","National Qualifications Framework (NQF) level","35.10%","%","353,992","124,205","38.80%","31.30%","1,565"
"% of individuals in employment","Black or Black British","ONS 5+1","2013","Year","K03000001","ONS geography code","All","16-64","No qualifications","National Qualifications Framework (NQF) level","38.20%","%","102,816","39,268","45.70%","30.70%","402"
"% of individuals in employment","Other","ONS 5+1","2013","Year","K03000001","ONS geography code","All","16-64","No qualifications","National Qualifications Framework (NQF) level","39.60%","%","106,020","41,932","46.70%","32.40%","453"
"% of individuals in employment","Ethnic Minority","ONS 5+1","2013","Year","K03000001","ONS geography code","All","16-64","No qualifications","National Qualifications Framework (NQF) level","36.30%","%","594,475","216,033","39.30%","33.40%","2,536"
"% of individuals in employment","Unreported","ONS 5+1","2013","Year","K03000001","ONS geography code","All","16-64","No qualifications","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","All","ONS 5+1","2013","Year","K03000001","ONS geography code","All","16-64","No qualifications","National Qualifications Framework (NQF) level","41.40%","%","3,593,664","1,486,751","42.10%","40.70%","18,973"
"% of individuals in employment","White","ONS 5+1","2013","Year","K03000001","ONS geography code","All","16-64","Missing","National Qualifications Framework (NQF) level","57.10%","%","78140","44648","62.00%","52.20%","392"
"% of individuals in employment","Mixed","ONS 5+1","2013","Year","K03000001","ONS geography code","All","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","Asian or Asian British","ONS 5+1","2013","Year","K03000001","ONS geography code","All","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","Black or Black British","ONS 5+1","2013","Year","K03000001","ONS geography code","All","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","Other","ONS 5+1","2013","Year","K03000001","ONS geography code","All","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","Ethnic Minority","ONS 5+1","2013","Year","K03000001","ONS geography code","All","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","Unreported","ONS 5+1","2013","Year","K03000001","ONS geography code","All","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","All","ONS 5+1","2013","Year","K03000001","ONS geography code","All","16-64","Missing","National Qualifications Framework (NQF) level","55.60%","%","94764","52655","60.20%","51.00%","450"
"% of individuals in employment","White","ONS 5+1","2013","Year","K03000001","ONS geography code","All","16-64","All","National Qualifications Framework (NQF) level","75.70%","%","32,023,363","24,245,388","75.90%","75.50%","159,225"
"% of individuals in employment","Mixed","ONS 5+1","2013","Year","K03000001","ONS geography code","All","16-64","All","National Qualifications Framework (NQF) level","68.40%","%","366,406","250,704","72.20%","64.60%","1,426"
"% of individuals in employment","Asian or Asian British","ONS 5+1","2013","Year","K03000001","ONS geography code","All","16-64","All","National Qualifications Framework (NQF) level","64.40%","%","2,310,883","1,489,250","66.00%","62.90%","9,559"
"% of individuals in employment","Black or Black British","ONS 5+1","2013","Year","K03000001","ONS geography code","All","16-64","All","National Qualifications Framework (NQF) level","67.40%","%","979,918","660,393","69.80%","65.00%","3,710"
"% of individuals in employment","Other","ONS 5+1","2013","Year","K03000001","ONS geography code","All","16-64","All","National Qualifications Framework (NQF) level","64.30%","%","777,283","500,103","67.00%","61.70%","3,109"
"% of individuals in employment","Ethnic Minority","ONS 5+1","2013","Year","K03000001","ONS geography code","All","16-64","All","National Qualifications Framework (NQF) level","65.40%","%","4,434,490","2,900,450","66.50%","64.30%","17,804"
"% of individuals in employment","Unreported","ONS 5+1","2013","Year","K03000001","ONS geography code","All","16-64","All","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","All","ONS 5+1","2013","Year","K03000001","ONS geography code","All","16-64","All","National Qualifications Framework (NQF) level","74.50%","%","36,476,601","27,156,935","74.70%","74.20%","177,121"
"% of individuals in employment","White","ONS 5+1","2014","Year","K03000001","ONS geography code","Male","16-64","Level 4 and above","National Qualifications Framework (NQF) level","89.80%","%","5,514,233","4,952,905","90.20%","89.40%","24,680"
"% of individuals in employment","Mixed","ONS 5+1","2014","Year","K03000001","ONS geography code","Male","16-64","Level 4 and above","National Qualifications Framework (NQF) level","87.60%","%","71,785","62,884","93.90%","81.30%","260"
"% of individuals in employment","Asian or Asian British","ONS 5+1","2014","Year","K03000001","ONS geography code","Male","16-64","Level 4 and above","National Qualifications Framework (NQF) level","92.40%","%","552,419","510,207","94.10%","90.60%","2,122"
"% of individuals in employment","Black or Black British","ONS 5+1","2014","Year","K03000001","ONS geography code","Male","16-64","Level 4 and above","National Qualifications Framework (NQF) level","84.00%","%","171,248","143,827","88.50%","79.40%","627"
"% of individuals in employment","Other","ONS 5+1","2014","Year","K03000001","ONS geography code","Male","16-64","Level 4 and above","National Qualifications Framework (NQF) level","88.30%","%","178,341","157,430","92.10%","84.40%","668"
"% of individuals in employment","Ethnic Minority","ONS 5+1","2014","Year","K03000001","ONS geography code","Male","16-64","Level 4 and above","National Qualifications Framework (NQF) level","89.80%","%","973,793","874,348","91.30%","88.20%","3,677"
"% of individuals in employment","Unreported","ONS 5+1","2014","Year","K03000001","ONS geography code","Male","16-64","Level 4 and above","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","All","ONS 5+1","2014","Year","K03000001","ONS geography code","Male","16-64","Level 4 and above","National Qualifications Framework (NQF) level","89.80%","%","6,496,933","5,835,242","90.20%","89.50%","28,390"
"% of individuals in employment","White","ONS 5+1","2014","Year","K03000001","ONS geography code","Male","16-64","Level 3","National Qualifications Framework (NQF) level","85.30%","%","3,177,845","2,712,201","85.90%","84.80%","15,048"
"% of individuals in employment","Mixed","ONS 5+1","2014","Year","K03000001","ONS geography code","Male","16-64","Level 3","National Qualifications Framework (NQF) level","78.70%","%","34,720","27,333","89.80%","67.60%","130"
