"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Geography_type"," Number of stop and searches "," Total number of stop and search carried out in this year in this area (excluding cases where the ethnicity was unreported) ","Population by ethnicity","Rate per 1,000 population by ethnicity","Proportion of total stop and searches of this ethnicity in the financial year (excludes unreported)","Notes","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Indian","ONS 2001 16+1","Lincolnshire","Police Force Area","14"," 11,814 ","2,474","5.66","0.1%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Mixed White and Asian","ONS 2001 16+1","Lincolnshire","Police Force Area","10"," 11,814 ","1,798","5.56","0.1%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Mixed White and Black African","ONS 2001 16+1","Lincolnshire","Police Force Area","6"," 11,814 ","815","7.36","0.1%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Mixed White and Black caribbean","ONS 2001 16+1","Lincolnshire","Police Force Area","8"," 11,814 ","2,073","3.86","0.1%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Unreported","ONS 2001 16+1","Lincolnshire","Police Force Area","127"," N/A ","N/A","N/A","N/A","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Pakistani","ONS 2001 16+1","Lincolnshire","Police Force Area","10"," 11,814 ","584","17.12","0.1%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","White British","ONS 2001 16+1","London, City of","Police Force Area","2,145"," 5,082 "," N/A "," N/A ","42.2%","Rate per 1,000 population has not been calculated for the City of London Police due to the small resident population relative to the visiting 'daytime' population.","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","White Irish","ONS 2001 16+1","London, City of","Police Force Area","97"," 5,082 "," N/A "," N/A ","1.9%","Rate per 1,000 population has not been calculated for the City of London Police due to the small resident population relative to the visiting 'daytime' population.","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Any other White background","ONS 2001 16+1","London, City of","Police Force Area","945"," 5,082 "," N/A "," N/A ","18.6%","Rate per 1,000 population has not been calculated for the City of London Police due to the small resident population relative to the visiting 'daytime' population.","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Any other Asian","ONS 2001 16+1","London, City of","Police Force Area","59"," 5,082 "," N/A "," N/A ","1.2%","Rate per 1,000 population has not been calculated for the City of London Police due to the small resident population relative to the visiting 'daytime' population.","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Any other Black background","ONS 2001 16+1","London, City of","Police Force Area","100"," 5,082 "," N/A "," N/A ","2.0%","Rate per 1,000 population has not been calculated for the City of London Police due to the small resident population relative to the visiting 'daytime' population.","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Any other ethnic group","ONS 2001 16+1","London, City of","Police Force Area","29"," 5,082 "," N/A "," N/A ","0.6%","Rate per 1,000 population has not been calculated for the City of London Police due to the small resident population relative to the visiting 'daytime' population.","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Any other mixed/multiple ethnic background","ONS 2001 16+1","London, City of","Police Force Area","67"," 5,082 "," N/A "," N/A ","1.3%","Rate per 1,000 population has not been calculated for the City of London Police due to the small resident population relative to the visiting 'daytime' population.","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Bangladeshi","ONS 2001 16+1","London, City of","Police Force Area","343"," 5,082 "," N/A "," N/A ","6.7%","Rate per 1,000 population has not been calculated for the City of London Police due to the small resident population relative to the visiting 'daytime' population.","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Black African","ONS 2001 16+1","London, City of","Police Force Area","393"," 5,082 "," N/A "," N/A ","7.7%","Rate per 1,000 population has not been calculated for the City of London Police due to the small resident population relative to the visiting 'daytime' population.","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Black Caribbean","ONS 2001 16+1","London, City of","Police Force Area","432"," 5,082 "," N/A "," N/A ","8.5%","Rate per 1,000 population has not been calculated for the City of London Police due to the small resident population relative to the visiting 'daytime' population.","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Chinese","ONS 2001 16+1","London, City of","Police Force Area","30"," 5,082 "," N/A "," N/A ","0.6%","Rate per 1,000 population has not been calculated for the City of London Police due to the small resident population relative to the visiting 'daytime' population.","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Indian","ONS 2001 16+1","London, City of","Police Force Area","143"," 5,082 "," N/A "," N/A ","2.8%","Rate per 1,000 population has not been calculated for the City of London Police due to the small resident population relative to the visiting 'daytime' population.","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Mixed White and Asian","ONS 2001 16+1","London, City of","Police Force Area","26"," 5,082 "," N/A "," N/A ","0.5%","Rate per 1,000 population has not been calculated for the City of London Police due to the small resident population relative to the visiting 'daytime' population.","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Mixed White and Black African","ONS 2001 16+1","London, City of","Police Force Area","47"," 5,082 "," N/A "," N/A ","0.9%","Rate per 1,000 population has not been calculated for the City of London Police due to the small resident population relative to the visiting 'daytime' population.","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Mixed White and Black caribbean","ONS 2001 16+1","London, City of","Police Force Area","112"," 5,082 "," N/A "," N/A ","2.2%","Rate per 1,000 population has not been calculated for the City of London Police due to the small resident population relative to the visiting 'daytime' population.","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Unreported","ONS 2001 16+1","London, City of","Police Force Area","663"," N/A "," N/A "," N/A ","N/A","Rate per 1,000 population has not been calculated for the City of London Police due to the small resident population relative to the visiting 'daytime' population.","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Pakistani","ONS 2001 16+1","London, City of","Police Force Area","114"," 5,082 "," N/A "," N/A ","2.2%","Rate per 1,000 population has not been calculated for the City of London Police due to the small resident population relative to the visiting 'daytime' population.","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","White British","ONS 2001 16+1","Merseyside","Police Force Area","61,027"," 63,966 ","1,268,277","48.12","95.4%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","White Irish","ONS 2001 16+1","Merseyside","Police Force Area","207"," 63,966 ","13,342","15.51","0.3%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Any other White background","ONS 2001 16+1","Merseyside","Police Force Area","208"," 63,966 ","23,684","8.78","0.3%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Any other Asian","ONS 2001 16+1","Merseyside","Police Force Area","214"," 63,966 ","6,023","35.53","0.3%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Any other Black background","ONS 2001 16+1","Merseyside","Police Force Area","554"," 63,966 ","2,694","205.64","0.9%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Any other ethnic group","ONS 2001 16+1","Merseyside","Police Force Area","118"," 63,966 ","9,975","11.83","0.2%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Any other mixed/multiple ethnic background","ONS 2001 16+1","Merseyside","Police Force Area","204"," 63,966 ","5,027","40.58","0.3%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Bangladeshi","ONS 2001 16+1","Merseyside","Police Force Area","51"," 63,966 ","2,366","21.56","0.1%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Black African","ONS 2001 16+1","Merseyside","Police Force Area","231"," 63,966 ","9,792","23.59","0.4%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Black Caribbean","ONS 2001 16+1","Merseyside","Police Force Area","338"," 63,966 ","2,066","163.60","0.5%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Chinese","ONS 2001 16+1","Merseyside","Police Force Area","312"," 63,966 ","11,554","27.00","0.5%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Indian","ONS 2001 16+1","Merseyside","Police Force Area","63"," 63,966 ","7,896","7.98","0.1%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Mixed White and Asian","ONS 2001 16+1","Merseyside","Police Force Area","59"," 63,966 ","4,638","12.72","0.1%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Mixed White and Black African","ONS 2001 16+1","Merseyside","Police Force Area","86"," 63,966 ","4,894","17.57","0.1%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Mixed White and Black caribbean","ONS 2001 16+1","Merseyside","Police Force Area","233"," 63,966 ","6,395","36.43","0.4%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Unreported","ONS 2001 16+1","Merseyside","Police Force Area","784"," N/A ","N/A","N/A","N/A","","","","","",""
