"Measure","Physical Activity Level","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography Code","Geography type","Gender","Gender_type","Age Bracket","Age Bracket type","NS SEC","NS SEC type","Value","Denominator","Numerator","Upper CI","Lower CI","Number of Respondents"
"Percentage of people at each activity level","Fairly active","Mixed","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","Male","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.120319349","1389.142764","167.1407526","0.153004828","0.093842654","771"
"Percentage of people at each activity level","Fairly active","Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","Male","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.145401471","1182.172192","171.8895753","0.190371195","0.109616321","664"
"Percentage of people at each activity level","Fairly active","All","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","Female","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.147972242","97271.83372","14393.53132","0.151099894","0.14489828","107612"
"Percentage of people at each activity level","Fairly active","White British","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","Female","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.146725035","79619.96663","11682.24237","0.150033633","0.143477082","93117"
"Percentage of people at each activity level","Fairly active","White Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","Female","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.131808022","5524.055321","728.1148072","0.144510781","0.120065148","5903"
"Percentage of people at each activity level","Fairly active","Asian","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","Female","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.171891067","6212.840271","1067.931744","0.188563449","0.156408675","4183"
"Percentage of people at each activity level","Fairly active","Black","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","Female","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.192704643","2451.87246","472.4872067","0.221609519","0.166762168","1750"
"Percentage of people at each activity level","Fairly active","Chinese","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","Female","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.142767281","725.1581501","103.5288571","0.185798465","0.108375627","617"
"Percentage of people at each activity level","Fairly active","Mixed","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","Female","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.120351685","1590.841494","191.4604546","0.147277508","0.097784045","1207"
"Percentage of people at each activity level","Fairly active","Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","Female","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.128816986","1147.099386","147.7658854","0.163479989","0.100619607","835"
"Percentage of people at each activity level","Fairly active","All","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","East Midlands","E12000004","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.136668757","16409.3495","2242.645391","0.142969788","0.130603108","21913"
"Percentage of people at each activity level","Fairly active","White British","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","East Midlands","E12000004","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.138499021","14181.86672","1964.174655","0.145213435","0.132047109","19725"
"Percentage of people at each activity level","Fairly active","White Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","East Midlands","E12000004","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.081963576","724.1174426","59.35125501","0.106257675","0.062833431","784"
"Percentage of people at each activity level","Fairly active","Asian","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","East Midlands","E12000004","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.155850232","938.3155368","146.2366937","0.190819602","0.126289137","828"
"Percentage of people at each activity level","Fairly active","Black","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","East Midlands","E12000004","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","?","?","?","?","?","205"
"Percentage of people at each activity level","Fairly active","Chinese","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","East Midlands","E12000004","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","?","?","?","?","?","85"
"Percentage of people at each activity level","Fairly active","Mixed","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","East Midlands","E12000004","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","?","?","?","?","?","174"
"Percentage of people at each activity level","Fairly active","Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","East Midlands","E12000004","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","?","?","?","?","?","112"
"Percentage of people at each activity level","Fairly active","All","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","East","E12000006","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.149176347","21099.82754","3147.595184","0.155609427","0.142964189","25199"
"Percentage of people at each activity level","Fairly active","White British","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","East","E12000006","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.146524801","18149.90806","2659.411674","0.153138884","0.140149107","22222"
"Percentage of people at each activity level","Fairly active","White Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","East","E12000006","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.130952596","1208.592289","158.2682981","0.155839915","0.109524073","1431"
"Percentage of people at each activity level","Fairly active","Asian","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","East","E12000006","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.21172055","859.1316542","181.8958263","0.260587219","0.169911852","749"
"Percentage of people at each activity level","Fairly active","Black","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","East","E12000006","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.238647419","330.9708124","78.98533005","0.333838137","0.163920486","299"
"Percentage of people at each activity level","Fairly active","Chinese","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","East","E12000006","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","?","?","?","?","?","116"
"Percentage of people at each activity level","Fairly active","Mixed","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","East","E12000006","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","?","?","?","?","?","238"
"Percentage of people at each activity level","Fairly active","Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","East","E12000006","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","?","?","?","?","?","144"
"Percentage of people at each activity level","Fairly active","All","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","London","E12000007","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.135695709","28925.89253","3925.119489","0.142927894","0.12877449","18669"
"Percentage of people at each activity level","Fairly active","White British","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","London","E12000007","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.132775354","13722.52116","1822.0126","0.142056495","0.124012938","10782"
"Percentage of people at each activity level","Fairly active","White Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","London","E12000007","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.121666424","4027.949314","490.0661886","0.139264063","0.106018559","2855"
"Percentage of people at each activity level","Fairly active","Asian","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","London","E12000007","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.14879068","5727.986314","852.270976","0.169852014","0.129932157","2365"
"Percentage of people at each activity level","Fairly active","Black","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","London","E12000007","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.158363616","2566.228934","406.3972937","0.187359603","0.133119984","1297"
"Percentage of people at each activity level","Fairly active","Chinese","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","London","E12000007","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.134306237","586.9392935","78.8296076","0.191810596","0.092077423","319"
"Percentage of people at each activity level","Fairly active","Mixed","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","London","E12000007","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.095056137","1110.569434","105.5664403","0.128416578","0.069669422","522"
"Percentage of people at each activity level","Fairly active","Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","London","E12000007","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.143597751","1183.698083","169.9763821","0.188800391","0.107779622","529"
"Percentage of people at each activity level","Fairly active","All","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","North East","E12000001","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.13382354","9347.152967","1250.869097","0.144862993","0.123503859","8837"
"Percentage of people at each activity level","Fairly active","White British","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","North East","E12000001","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.134539363","8756.840039","1178.13968","0.146004066","0.123844354","8305"
"Percentage of people at each activity level","Fairly active","White Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","North East","E12000001","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","?","?","?","?","?","211"
"Percentage of people at each activity level","Fairly active","Asian","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","North East","E12000001","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","?","?","?","?","?","152"
"Percentage of people at each activity level","Fairly active","Black","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","North East","E12000001","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","?","?","?","?","?","30"
"Percentage of people at each activity level","Fairly active","Chinese","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","North East","E12000001","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","?","?","?","?","?","49"
"Percentage of people at each activity level","Fairly active","Mixed","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","North East","E12000001","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","?","?","?","?","?","51"
